market,market_type,acv_change_pp,vel_change_pct,slope_annual_pp,change_pp,driver
San Antonio,declining,-4.927307692307692,-5.840413590926514,-1.813,-1.6299999999999994,Both ACV & Velocity
Dallas,declining,-4.249615384615391,-5.899713370196895,-1.353,-1.580000000000001,Both ACV & Velocity
Chicago,declining,-3.8485256410256463,-3.027829523070384,-1.306,-1.319999999999999,Both ACV & Velocity
Los Angeles,declining,-1.7044230769230784,-2.406217728028694,-0.85,-1.0300000000000002,Both ACV & Velocity
Phoenix,stable,0.6906410256410256,1.3779816364800939,0.102,0.1200000000000006,No clear signal
Detroit,stable,0.7646153846153858,-1.6309555063822627,-0.143,-0.1500000000000001,No clear signal
Houston,growing,1.0046794871794829,3.747707641418071,0.849,0.9699999999999986,No clear signal
New York,growing,1.5917307692307703,1.337637357453985,0.543,0.4500000000000004,No clear signal
Philadelphia,growing,1.7355769230769313,-0.43401745006883946,0.53,0.2900000000000013,No clear signal
Seattle,growing,2.9732051282051364,6.538099742135671,1.246,1.2700000000000018,No clear signal
